review_id,product_name,rating,review
AMZ0001,Laptop Stand,5,Really good value for money. The laptop stand looks sturdy and the stability is surprisingly good.
AMZ0002,Power Bank,4,Very happy with this power bank. It arrived on time and the battery backup works perfectly.
AMZ0003,Vacuum Cleaner,5,Very happy with this vacuum cleaner. It arrived on time and the suction works perfectly.
AMZ0004,Power Bank,5,Absolutely loved this power bank. The battery backup is excellent and it feels premium for the price.
AMZ0005,Usb Hub,5,"I was skeptical at first, but this USB hub turned out to be fantastic. Great port connectivity."
AMZ0006,Wireless Earbuds,3,"I had high hopes, but this wireless earbuds was a letdown. The sound quality is below average."
AMZ0007,Gaming Mouse,5,I bought this gaming mouse for daily use and I'm impressed with the tracking. Highly recommend.
AMZ0008,Laptop Stand,5,Very happy with this laptop stand. It arrived on time and the stability works perfectly.
AMZ0009,Coffee Mug,3,Very disappointed with this coffee mug. The finish stopped working after a few days.
AMZ0010,Usb Hub,4,The packaging was neat and the USB hub feels well-built. No complaints so far.
AMZ0011,Usb Hub,5,Excellent product. I've been using this USB hub for a week and the performance is smooth.
AMZ0012,Backpack,2,Very disappointed with this backpack. The storage space stopped working after a few days.
AMZ0013,Keyboard,3,Decent keyboard overall. Delivery was fine and setup took only a few minutes.
AMZ0014,Air Fryer,5,One of the best purchases I've made recently. The air fryer performs exactly as described.
AMZ0015,Coffee Mug,4,Really good value for money. The coffee mug looks sturdy and the finish is surprisingly good.
AMZ0016,Bluetooth Speaker,5,I bought this Bluetooth speaker for daily use and I'm impressed with the bass. Highly recommend.
AMZ0017,Tripod,5,Works like a charm. The tripod is reliable and the setup was super easy.
AMZ0018,Gaming Mouse,2,Very disappointed with this gaming mouse. The tracking stopped working after a few days.
AMZ0019,Phone Charger,2,I returned this phone charger because it did not match the description at all.
AMZ0020,Water Bottle,5,Excellent product. I've been using this water bottle for a week and the performance is smooth.
AMZ0021,Backpack,3,I returned this backpack because it did not match the description at all.
AMZ0022,Desk Lamp,5,I bought this desk lamp for daily use and I'm impressed with the brightness. Highly recommend.
AMZ0023,Vacuum Cleaner,3,The vacuum cleaner is fine for the price. Build quality is acceptable and performance is average.
AMZ0024,Power Bank,4,Decent power bank overall. Delivery was fine and setup took only a few minutes.
AMZ0025,Fitness Band,4,Absolutely loved this fitness band. The step tracking is excellent and it feels premium for the price.
AMZ0026,Desk Lamp,1,I returned this desk lamp because it did not match the description at all.
AMZ0027,Air Fryer,5,"I was skeptical at first, but this air fryer turned out to be fantastic. Great cooking performance."
AMZ0028,Usb Hub,4,"The USB hub is okay for basic use. The port connectivity works, but nothing exceptional."
AMZ0029,Laptop Stand,2,The item stopped working within a week. Customer support was also not helpful.
AMZ0030,Gaming Mouse,5,The packaging was neat and the gaming mouse feels well-built. No complaints so far.
AMZ0031,Tripod,5,Really good value for money. The tripod looks sturdy and the stability is surprisingly good.
AMZ0032,Monitor Stand,4,"Average experience with this monitor stand. It does the job, but there is room for improvement."
AMZ0033,Monitor Stand,2,"I had high hopes, but this monitor stand was a letdown. The adjustability is below average."
AMZ0034,Bluetooth Speaker,4,Works like a charm. The Bluetooth speaker is reliable and the setup was super easy.
AMZ0035,Gaming Mouse,5,Very happy with this gaming mouse. It arrived on time and the tracking works perfectly.
AMZ0036,Keyboard,4,I bought this keyboard for daily use and I'm impressed with the key response. Highly recommend.
AMZ0037,Water Bottle,2,The quality of this water bottle is not as expected. It feels cheap and poorly made.
AMZ0038,Desk Lamp,2,The item stopped working within a week. Customer support was also not helpful.
AMZ0039,Phone Case,5,Excellent product. I've been using this phone case for a week and the performance is smooth.
AMZ0040,Backpack,4,Decent backpack overall. Delivery was fine and setup took only a few minutes.
AMZ0041,Keyboard,5,One of the best purchases I've made recently. The keyboard performs exactly as described.
AMZ0042,Monitor Stand,5,I bought this monitor stand for daily use and I'm impressed with the adjustability. Highly recommend.
AMZ0043,Water Bottle,5,Excellent product. I've been using this water bottle for a week and the performance is smooth.
AMZ0044,Power Bank,5,Absolutely loved this power bank. The battery backup is excellent and it feels premium for the price.
AMZ0045,Water Bottle,3,"Average experience with this water bottle. It does the job, but there is room for improvement."
AMZ0046,Monitor Stand,5,"I was skeptical at first, but this monitor stand turned out to be fantastic. Great adjustability."
AMZ0047,Usb Hub,5,Excellent product. I've been using this USB hub for a week and the performance is smooth.
AMZ0048,Power Bank,2,I returned this power bank because it did not match the description at all.
AMZ0049,Laptop Stand,5,The packaging was neat and the laptop stand feels well-built. No complaints so far.
AMZ0050,Vacuum Cleaner,4,Absolutely loved this vacuum cleaner. The suction is excellent and it feels premium for the price.
AMZ0051,Phone Charger,4,One of the best purchases I've made recently. The phone charger performs exactly as described.
AMZ0052,Power Bank,5,Works like a charm. The power bank is reliable and the setup was super easy.
AMZ0053,Desk Lamp,5,Really good value for money. The desk lamp looks sturdy and the brightness is surprisingly good.
AMZ0054,Power Bank,3,"The power bank is okay for basic use. The battery backup works, but nothing exceptional."
AMZ0055,Usb Hub,4,Works like a charm. The USB hub is reliable and the setup was super easy.
AMZ0056,Water Bottle,3,Decent water bottle overall. Delivery was fine and setup took only a few minutes.
AMZ0057,Vacuum Cleaner,5,I bought this vacuum cleaner for daily use and I'm impressed with the suction. Highly recommend.
