product_id,product_name,category,price,popularity,description
1,Festive Kurta Set,Ethnic Wear,1499,95,Traditional kurta for Diwali celebrations.
2,Embroidered Dupatta,Ethnic Wear,899,85,Elegant dupatta with embroidery.
3,Gold Plated Earrings,Accessories,499,90,Stylish earrings for festive occasions.
4,Party Wear Gown,Western Wear,2299,80,Perfect gown for evening Diwali parties.
5,Jutti,Footwear,999,75,Traditional jutti for ethnic outfits.
6,Silk Saree,Ethnic Wear,1999,88,Beautiful silk saree for festive vibes.
7,Handcrafted Bracelet,Accessories,599,82,Elegant bracelet for festive outfits.
8,Casual Kurti,Ethnic Wear,899,70,Light and comfy kurti for daily wear.
9,Heels,Footwear,1299,78,Stylish heels to pair with gowns or sarees.
10,Diwali Gift Box,Gifts,699,92,"Combo of sweets, candles, and decor."
